,raceId,circuitId,driverId,constructorId,year,date,name
0,1,1,18,23,2009,2009-03-29,Australian Grand Prix
1,1,1,22,23,2009,2009-03-29,Australian Grand Prix
2,1,1,15,7,2009,2009-03-29,Australian Grand Prix
3,1,1,10,7,2009,2009-03-29,Australian Grand Prix
4,1,1,4,4,2009,2009-03-29,Australian Grand Prix
5,1,1,3,3,2009,2009-03-29,Australian Grand Prix
6,1,1,67,5,2009,2009-03-29,Australian Grand Prix
7,1,1,7,5,2009,2009-03-29,Australian Grand Prix
8,1,1,16,10,2009,2009-03-29,Australian Grand Prix
9,1,1,2,2,2009,2009-03-29,Australian Grand Prix
10,1,1,21,10,2009,2009-03-29,Australian Grand Prix
11,1,1,17,9,2009,2009-03-29,Australian Grand Prix
12,1,1,20,9,2009,2009-03-29,Australian Grand Prix
13,1,1,9,2,2009,2009-03-29,Australian Grand Prix
14,1,1,8,6,2009,2009-03-29,Australian Grand Prix
15,1,1,13,6,2009,2009-03-29,Australian Grand Prix
16,1,1,12,4,2009,2009-03-29,Australian Grand Prix
17,1,1,6,3,2009,2009-03-29,Australian Grand Prix
18,1,1,5,1,2009,2009-03-29,Australian Grand Prix
19,1,1,1,1,2009,2009-03-29,Australian Grand Prix
20,2,2,18,23,2009,2009-04-05,Malaysian Grand Prix
21,2,2,2,2,2009,2009-04-05,Malaysian Grand Prix
22,2,2,10,7,2009,2009-04-05,Malaysian Grand Prix
23,2,2,15,7,2009,2009-04-05,Malaysian Grand Prix
24,2,2,22,23,2009,2009-04-05,Malaysian Grand Prix
25,2,2,17,9,2009,2009-04-05,Malaysian Grand Prix
26,2,2,1,1,2009,2009-04-05,Malaysian Grand Prix
27,2,2,3,3,2009,2009-04-05,Malaysian Grand Prix
28,2,2,13,6,2009,2009-04-05,Malaysian Grand Prix
29,2,2,7,5,2009,2009-04-05,Malaysian Grand Prix
30,2,2,4,4,2009,2009-04-05,Malaysian Grand Prix
31,2,2,6,3,2009,2009-04-05,Malaysian Grand Prix
32,2,2,12,4,2009,2009-04-05,Malaysian Grand Prix
33,2,2,8,6,2009,2009-04-05,Malaysian Grand Prix
34,2,2,20,9,2009,2009-04-05,Malaysian Grand Prix
35,2,2,67,5,2009,2009-04-05,Malaysian Grand Prix
36,2,2,16,10,2009,2009-04-05,Malaysian Grand Prix
37,2,2,21,10,2009,2009-04-05,Malaysian Grand Prix
38,2,2,9,2,2009,2009-04-05,Malaysian Grand Prix
39,2,2,5,1,2009,2009-04-05,Malaysian Grand Prix
40,3,17,20,9,2009,2009-04-19,Chinese Grand Prix
41,3,17,17,9,2009,2009-04-19,Chinese Grand Prix
42,3,17,18,23,2009,2009-04-19,Chinese Grand Prix
